marker,ens_id,found,n_cells_expressing,pct_expressing,mean_expr,max_expr,scope,day,n_cells_in_day
podxl,ENSDARG00000044454,False,0,0.0,0.0,0.0,all,,
podxl,ENSDARG00000044454,False,0,0.0,0.0,0.0,day1,day1,591.0
podxl,ENSDARG00000044454,False,0,0.0,0.0,0.0,day2,day2,918.0
podxl,ENSDARG00000044454,False,0,0.0,0.0,0.0,day3,day3,556.0
nphs1,ENSDARG00000023174,True,47,2.2760290556900724,0.03068659082055092,2.3133716583251953,all,,
nphs1,ENSDARG00000023174,True,25,4.230118443316413,0.05906260386109352,2.3133716583251953,day1,day1,591.0
nphs1,ENSDARG00000023174,True,15,1.6339869281045754,0.01945575140416622,2.2259867191314697,day2,day2,918.0
nphs1,ENSDARG00000023174,True,7,1.2589928057553956,0.019067319110035896,2.2947168350219727,day3,day3,556.0
nphs2,ENSDARG00000089786,False,0,0.0,0.0,0.0,all,,
nphs2,ENSDARG00000089786,False,0,0.0,0.0,0.0,day1,day1,591.0
nphs2,ENSDARG00000089786,False,0,0.0,0.0,0.0,day2,day2,918.0
nphs2,ENSDARG00000089786,False,0,0.0,0.0,0.0,day3,day3,556.0
slc20a1a,ENSDARG00000005003,False,0,0.0,0.0,0.0,all,,
slc20a1a,ENSDARG00000005003,False,0,0.0,0.0,0.0,day1,day1,591.0
slc20a1a,ENSDARG00000005003,False,0,0.0,0.0,0.0,day2,day2,918.0
slc20a1a,ENSDARG00000005003,False,0,0.0,0.0,0.0,day3,day3,556.0
slc4a4a,ENSDARG00000004665,True,939,45.47215496368039,0.9392444491386414,4.8019304275512695,all,,
slc4a4a,ENSDARG00000004665,True,250,42.30118443316413,0.694739043712616,3.3436458110809326,day1,day1,591.0
slc4a4a,ENSDARG00000004665,True,404,44.008714596949886,0.9675499200820923,4.8019304275512695,day2,day2,918.0
slc4a4a,ENSDARG00000004665,True,285,51.2589928057554,1.1524065732955933,4.521345138549805,day3,day3,556.0
trpm7,ENSDARG00000058814,False,0,0.0,0.0,0.0,all,,
trpm7,ENSDARG00000058814,False,0,0.0,0.0,0.0,day1,day1,591.0
trpm7,ENSDARG00000058814,False,0,0.0,0.0,0.0,day2,day2,918.0
trpm7,ENSDARG00000058814,False,0,0.0,0.0,0.0,day3,day3,556.0
slc12a1,ENSDARG00000003581,False,0,0.0,0.0,0.0,all,,
slc12a1,ENSDARG00000003581,False,0,0.0,0.0,0.0,day1,day1,591.0
slc12a1,ENSDARG00000003581,False,0,0.0,0.0,0.0,day2,day2,918.0
slc12a1,ENSDARG00000003581,False,0,0.0,0.0,0.0,day3,day3,556.0
kcnj1a.1,ENSDARG00000098953,False,0,0.0,0.0,0.0,all,,
kcnj1a.1,ENSDARG00000098953,False,0,0.0,0.0,0.0,day1,day1,591.0
kcnj1a.1,ENSDARG00000098953,False,0,0.0,0.0,0.0,day2,day2,918.0
kcnj1a.1,ENSDARG00000098953,False,0,0.0,0.0,0.0,day3,day3,556.0
slc12a3,ENSDARG00000043794,False,0,0.0,0.0,0.0,all,,
slc12a3,ENSDARG00000043794,False,0,0.0,0.0,0.0,day1,day1,591.0
slc12a3,ENSDARG00000043794,False,0,0.0,0.0,0.0,day2,day2,918.0
slc12a3,ENSDARG00000043794,False,0,0.0,0.0,0.0,day3,day3,556.0
gata3,ENSDARG00000008796,False,0,0.0,0.0,0.0,all,,
gata3,ENSDARG00000008796,False,0,0.0,0.0,0.0,day1,day1,591.0
gata3,ENSDARG00000008796,False,0,0.0,0.0,0.0,day2,day2,918.0
gata3,ENSDARG00000008796,False,0,0.0,0.0,0.0,day3,day3,556.0
cdh17,ENSDARG00000020995,False,0,0.0,0.0,0.0,all,,
cdh17,ENSDARG00000020995,False,0,0.0,0.0,0.0,day1,day1,591.0
cdh17,ENSDARG00000020995,False,0,0.0,0.0,0.0,day2,day2,918.0
cdh17,ENSDARG00000020995,False,0,0.0,0.0,0.0,day3,day3,556.0
