test,n_cells_per_sample,baseline_pct,effect_size_relative_reduction,p_ctrl,p_ko,n_target_ctrl_expected,n_target_ko_expected,power_analytic
differential_abundance,3000,0.02,0.1,0.02,0.018000000000000002,60,54,0.0876
differential_abundance,3000,0.02,0.2,0.02,0.016,60,48,0.2142
differential_abundance,3000,0.02,0.3,0.02,0.013999999999999999,60,41,0.4356
differential_abundance,3000,0.02,0.4,0.02,0.012,60,36,0.6948
differential_abundance,3000,0.02,0.5,0.02,0.01,60,30,0.8902
differential_abundance,3000,0.03,0.1,0.03,0.027,90,81,0.1074
differential_abundance,3000,0.03,0.2,0.03,0.024,90,72,0.2997
differential_abundance,3000,0.03,0.3,0.03,0.020999999999999998,90,62,0.5992
differential_abundance,3000,0.03,0.4,0.03,0.018,90,53,0.8594
differential_abundance,3000,0.03,0.5,0.03,0.015,90,45,0.975
differential_abundance,3000,0.05,0.1,0.05,0.045000000000000005,150,135,0.149
differential_abundance,3000,0.05,0.2,0.05,0.04000000000000001,150,120,0.4635
differential_abundance,3000,0.05,0.3,0.05,0.034999999999999996,150,104,0.8214
differential_abundance,3000,0.05,0.4,0.05,0.03,150,90,0.977
differential_abundance,3000,0.05,0.5,0.05,0.025,150,75,0.9992
differential_abundance,5000,0.02,0.1,0.02,0.018000000000000002,100,90,0.1134
differential_abundance,5000,0.02,0.2,0.02,0.016,100,80,0.3246
differential_abundance,5000,0.02,0.3,0.02,0.013999999999999999,100,69,0.6409
differential_abundance,5000,0.02,0.4,0.02,0.012,100,60,0.8904
differential_abundance,5000,0.02,0.5,0.02,0.01,100,50,0.9844
differential_abundance,5000,0.03,0.1,0.03,0.027,150,135,0.147
differential_abundance,5000,0.03,0.2,0.03,0.024,150,120,0.4566
differential_abundance,5000,0.03,0.3,0.03,0.020999999999999998,150,104,0.8146
differential_abundance,5000,0.03,0.4,0.03,0.018,150,90,0.9751
differential_abundance,5000,0.03,0.5,0.03,0.015,150,75,0.999
differential_abundance,5000,0.05,0.1,0.05,0.045000000000000005,250,225,0.2172
differential_abundance,5000,0.05,0.2,0.05,0.04000000000000001,250,200,0.6744
differential_abundance,5000,0.05,0.3,0.05,0.034999999999999996,250,174,0.9607
differential_abundance,5000,0.05,0.4,0.05,0.03,250,150,0.9992
differential_abundance,5000,0.05,0.5,0.05,0.025,250,125,1.0
differential_abundance,8000,0.02,0.1,0.02,0.018000000000000002,160,144,0.1526
differential_abundance,8000,0.02,0.2,0.02,0.016,160,128,0.4773
differential_abundance,8000,0.02,0.3,0.02,0.013999999999999999,160,111,0.8354
differential_abundance,8000,0.02,0.4,0.02,0.012,160,96,0.9809
differential_abundance,8000,0.02,0.5,0.02,0.01,160,80,0.9994
differential_abundance,8000,0.03,0.1,0.03,0.027,240,216,0.2072
differential_abundance,8000,0.03,0.2,0.03,0.024,240,192,0.6485
differential_abundance,8000,0.03,0.3,0.03,0.020999999999999998,240,167,0.9507
differential_abundance,8000,0.03,0.4,0.03,0.018,240,144,0.9987
differential_abundance,8000,0.03,0.5,0.03,0.015,240,120,1.0
differential_abundance,8000,0.05,0.1,0.05,0.045000000000000005,400,360,0.3183
differential_abundance,8000,0.05,0.2,0.05,0.04000000000000001,400,320,0.8624
differential_abundance,8000,0.05,0.3,0.05,0.034999999999999996,400,279,0.997
differential_abundance,8000,0.05,0.4,0.05,0.03,400,240,1.0
differential_abundance,8000,0.05,0.5,0.05,0.025,400,200,1.0
differential_abundance,10000,0.02,0.1,0.02,0.018000000000000002,200,180,0.1791
differential_abundance,10000,0.02,0.2,0.02,0.016,200,160,0.5665
differential_abundance,10000,0.02,0.3,0.02,0.013999999999999999,200,139,0.907
differential_abundance,10000,0.02,0.4,0.02,0.012,200,120,0.9946
differential_abundance,10000,0.02,0.5,0.02,0.01,200,100,0.9999
differential_abundance,10000,0.03,0.1,0.03,0.027,300,270,0.2472
differential_abundance,10000,0.03,0.2,0.03,0.024,300,240,0.7446
differential_abundance,10000,0.03,0.3,0.03,0.020999999999999998,300,209,0.9811
differential_abundance,10000,0.03,0.4,0.03,0.018,300,180,0.9998
differential_abundance,10000,0.03,0.5,0.03,0.015,300,150,1.0
differential_abundance,10000,0.05,0.1,0.05,0.045000000000000005,500,450,0.3831
differential_abundance,10000,0.05,0.2,0.05,0.04000000000000001,500,400,0.9267
differential_abundance,10000,0.05,0.3,0.05,0.034999999999999996,500,349,0.9995
differential_abundance,10000,0.05,0.4,0.05,0.03,500,300,1.0
differential_abundance,10000,0.05,0.5,0.05,0.025,500,250,1.0
