cluster,rank,ens,symbol,description,is_tf,tf_reason,score,padj,anchor_label
0,1,ENSDARG00000014420,elavl3,ELAV like neuron-specific RNA binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:30732],False,,14.022989273071289,2.7029432066755336e-40,
0,2,ENSDARG00000000503,stx1b,syntaxin 1B [Source:NCBI gene (formerly Entrezgene);Acc:58038],False,,12.60391902923584,2.4078909296270892e-32,
0,3,ENSDARG00000041627,,,False,,12.057842254638672,1.4089777617215598e-29,
0,4,ENSDARG00000075978,,,False,,11.843138694763184,1.399528500908725e-28,
0,5,ENSDARG00000001889,tuba1a,"tubulin, alpha 1a [Source:NCBI gene (formerly Entrezgene);Acc:573216]",False,,11.60534381866455,1.8558909512359497e-27,
0,6,ENSDARG00000025206,syt2a,synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510],False,,11.502042770385742,5.146729472052687e-27,
0,7,ENSDARG00000001994,stxbp1a,syntaxin binding protein 1a [Source:NCBI gene (formerly Entrezgene);Acc:574003],False,,11.409882545471191,1.2780561402745371e-26,
0,8,ENSDARG00000037997,tubb5,"tubulin, beta 5 [Source:NCBI gene (formerly Entrezgene);Acc:386701]",False,,11.381120681762695,1.555901452550173e-26,
0,9,ENSDARG00000002587,dpysl3,dihydropyrimidinase like 3 [Source:NCBI gene (formerly Entrezgene);Acc:553166],False,,10.954143524169922,1.6905769256832212e-24,
0,10,ENSDARG00000055216,tuba1c,"tubulin, alpha 1c [Source:NCBI gene (formerly Entrezgene);Acc:573122]",False,,10.937129020690918,1.835782298550247e-24,
0,11,ENSDARG00000035423,,,False,,10.853678703308105,4.174217738854793e-24,
0,12,ENSDARG00000089464,,,False,,10.525951385498047,1.3102683686600938e-22,
0,13,ENSDARG00000058875,,,False,,10.493138313293457,1.7127654287677876e-22,
0,14,ENSDARG00000020178,nova1,NOVA alternative splicing regulator 1 [Source:NCBI gene (formerly Entrezgene);Acc:555590],False,,10.43298053741455,3.0014105013444756e-22,
0,15,ENSDARG00000056023,hoxb9a,homeobox B9a [Source:NCBI gene (formerly Entrezgene);Acc:30344],True,desc:homeobox,10.421030044555664,3.1766374630748735e-22,
0,16,ENSDARG00000016676,gnao1a,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a [Source:NCBI gene (formerly E",False,,10.413738250732422,3.215343121368168e-22,
0,17,ENSDARG00000033655,stmn1b,stathmin 1b [Source:NCBI gene (formerly Entrezgene);Acc:550548],False,,10.398547172546387,3.5495695679048764e-22,
0,18,ENSDARG00000032083,dpysl2b,dihydropyrimidinase like 2b [Source:NCBI gene (formerly Entrezgene);Acc:553412],False,,10.288561820983887,1.0212979088776593e-21,
0,19,ENSDARG00000007982,onecut1,one cut homeobox 1 [Source:NCBI gene (formerly Entrezgene);Acc:393545],True,desc:homeobox,10.286637306213379,1.0212979088776593e-21,
0,20,ENSDARG00000017673,nova2,NOVA alternative splicing regulator 2 [Source:NCBI gene (formerly Entrezgene);Acc:553201],False,,10.248051643371582,1.4472218659125881e-21,
0,21,ENSDARG00000056175,scrt2,scratch family zinc finger 2 [Source:NCBI gene (formerly Entrezgene);Acc:325372],True,desc:zinc finger,10.14373779296875,4.032833275323213e-21,
0,22,ENSDARG00000010008,vim,vimentin [Source:NCBI gene (formerly Entrezgene);Acc:140599],False,,10.062313079833984,8.833052455374502e-21,
0,23,ENSDARG00000074030,myt1a,myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622],True,desc:transcription factor,10.056034088134766,9.005392761498155e-21,
0,24,ENSDARG00000016300,,,False,,9.886094093322754,4.777314683824156e-20,
0,25,ENSDARG00000056740,tmeff1b,transmembrane protein with EGF-like and two follistatin-like domains 1b [Source:NCBI gene (formerly Entrezgene);Acc:5535,False,,9.771855354309082,1.4257719443408423e-19,
0,26,ENSDARG00000018259,atp1a3a,ATPase Na+/K+ transporting subunit alpha 3a [Source:NCBI gene (formerly Entrezgene);Acc:64610],False,,9.733370780944824,2.0030790679535386e-19,
0,27,ENSDARG00000079276,ube2ql1,ubiquitin conjugating enzyme E2 QL1 [Source:HGNC Symbol;Acc:HGNC:37269],False,,9.721521377563477,2.16712507688015e-19,
0,28,ENSDARG00000070585,,,False,,9.683745384216309,3.026395498245354e-19,
0,29,ENSDARG00000040253,onecutl,"one cut domain, family member, like [Source:NCBI gene (formerly Entrezgene);Acc:246225]",False,,9.547834396362305,1.0946519049086494e-18,
0,30,ENSDARG00000056877,vamp2,vesicle-associated membrane protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:336281],False,,9.502260208129883,1.6410118027990004e-18,
1,1,ENSDARG00000017673,nova2,NOVA alternative splicing regulator 2 [Source:NCBI gene (formerly Entrezgene);Acc:553201],False,,19.249624252319336,3.4083503455582814e-78,intermed_meso (20%)
1,2,ENSDARG00000075593,trim71,"tripartite motif containing 71, E3 ubiquitin protein ligase [Source:NCBI gene (formerly Entrezgene);Acc:561754]",False,,18.84172248840332,4.118050267043774e-75,intermed_meso (20%)
1,3,ENSDARG00000061478,igf2bp1,insulin-like growth factor 2 mRNA binding protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:558182],False,,18.79884910583496,6.166154336466964e-75,intermed_meso (20%)
1,4,ENSDARG00000052856,khdrbs1a,"KH domain containing, RNA binding, signal transduction associated 1a [Source:NCBI gene (formerly Entrezgene);Acc:30082]",False,,18.482839584350586,1.7009479695563702e-72,intermed_meso (20%)
1,5,ENSDARG00000053569,sox3,SRY-box transcription factor 3 [Source:NCBI gene (formerly Entrezgene);Acc:30529],True,desc:transcription factor,18.253711700439453,9.267651297974669e-71,intermed_meso (20%)
1,6,ENSDARG00000043716,cldn5a,claudin 5a [Source:NCBI gene (formerly Entrezgene);Acc:406559],False,,18.031063079833984,4.439886681748084e-69,intermed_meso (20%)
1,7,ENSDARG00000036036,mdka,midkine a [Source:NCBI gene (formerly Entrezgene);Acc:30277],False,,17.997604370117188,6.965984726693118e-69,intermed_meso (20%)
1,8,ENSDARG00000059269,,,False,,17.945180892944336,1.568224624051834e-68,intermed_meso (20%)
1,9,ENSDARG00000026395,rfx4,"regulatory factor X, 4 [Source:NCBI gene (formerly Entrezgene);Acc:403016]",False,,17.8487491607666,7.872409043893347e-68,intermed_meso (20%)
1,10,ENSDARG00000014796,wnt11,"wingless-type MMTV integration site family, member 11 [Source:NCBI gene (formerly Entrezgene);Acc:30283]",False,,17.795658111572266,1.830487419575638e-67,intermed_meso (20%)
1,11,ENSDARG00000028335,hmga1a,high mobility group AT-hook 1a [Source:NCBI gene (formerly Entrezgene);Acc:406447],True,desc:high mobility group,17.505558013916016,2.831629082112524e-65,intermed_meso (20%)
1,12,ENSDARG00000076532,si:ch211-222l21.1,,False,,16.788593292236328,5.908082162968043e-60,intermed_meso (20%)
1,13,ENSDARG00000010770,sox19a,SRY-box transcription factor 19a [Source:NCBI gene (formerly Entrezgene);Acc:30038],True,desc:transcription factor,16.658235549926758,4.862023756848342e-59,intermed_meso (20%)
1,14,ENSDARG00000078473,nucks1a,nuclear casein kinase and cyclin-dependent kinase substrate 1a [Source:NCBI gene (formerly Entrezgene);Acc:447862],False,,16.65329360961914,4.903510232945962e-59,intermed_meso (20%)
1,15,ENSDARG00000016153,dag1,dystroglycan 1 [Source:NCBI gene (formerly Entrezgene);Acc:286829],False,,16.619903564453125,7.99214729587807e-59,intermed_meso (20%)
1,16,ENSDARG00000042049,,,False,,16.614694595336914,8.172631365003878e-59,intermed_meso (20%)
1,17,ENSDARG00000042502,,,False,,16.56500816345215,1.7591457658402553e-58,intermed_meso (20%)
1,18,ENSDARG00000018693,cdh2,"cadherin 2, type 1, N-cadherin (neuronal) [Source:NCBI gene (formerly Entrezgene);Acc:30291]",False,,16.353912353515625,5.432214977222363e-57,intermed_meso (20%)
1,19,ENSDARG00000052150,pbx4,pre-B-cell leukemia transcription factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:30728],True,desc:transcription factor,16.112497329711914,2.6295422805915753e-55,intermed_meso (20%)
1,20,ENSDARG00000052139,notch3,notch receptor 3 [Source:NCBI gene (formerly Entrezgene);Acc:58066],False,,16.051794052124023,6.65599998994189e-55,intermed_meso (20%)
1,21,ENSDARG00000055678,akap12b,A kinase (PRKA) anchor protein 12b [Source:NCBI gene (formerly Entrezgene);Acc:567365],False,,15.995363235473633,1.571222774312798e-54,intermed_meso (20%)
1,22,ENSDARG00000052094,notch1b,notch receptor 1b [Source:NCBI gene (formerly Entrezgene);Acc:794892],False,,15.92197036743164,4.860538970485141e-54,intermed_meso (20%)
1,23,ENSDARG00000093817,,,False,,15.839628219604492,1.7278998082974904e-53,intermed_meso (20%)
1,24,ENSDARG00000035750,,,False,,15.7577543258667,6.067774805790263e-53,intermed_meso (20%)
1,25,ENSDARG00000078748,si:ch211-137a8.4,,False,,15.723695755004883,9.978400193395116e-53,intermed_meso (20%)
1,26,ENSDARG00000007099,gjc4b,gap junction protein gamma 4b [Source:NCBI gene (formerly Entrezgene);Acc:30276],False,,15.646363258361816,3.2429305837291498e-52,intermed_meso (20%)
1,27,ENSDARG00000010192,pax3a,paired box 3a [Source:NCBI gene (formerly Entrezgene);Acc:30532],True,desc:paired box,15.600817680358887,6.3802329280243425e-52,intermed_meso (20%)
1,28,ENSDARG00000006487,anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A [Source:NCBI gene (formerly Entrezgene);Acc:335907]",False,,15.530029296875,1.860068993146545e-51,intermed_meso (20%)
1,29,ENSDARG00000020504,h3f3a,"H3 histone, family 3A [Source:NCBI gene (formerly Entrezgene);Acc:406269]",False,,15.494769096374512,3.1104067948356824e-51,intermed_meso (20%)
1,30,ENSDARG00000020708,mdkb,midkine b [Source:NCBI gene (formerly Entrezgene);Acc:65231],False,,15.397401809692383,1.3613319511018734e-50,intermed_meso (20%)
10,1,ENSDARG00000069801,crygm2d12,"crystallin, gamma M2d12 [Source:NCBI gene (formerly Entrezgene);Acc:100000256]",False,,4.888297080993652,0.0008064018512346369,
10,2,ENSDARG00000087324,crygm2d1,"crystallin, gamma M2d1 [Source:NCBI gene (formerly Entrezgene);Acc:553710]",False,,4.888297080993652,0.0008064018512346369,
10,3,ENSDARG00000086912,,,False,,4.888297080993652,0.0008064018512346369,
10,4,ENSDARG00000007576,crybb1l1,,False,,4.888297080993652,0.0008064018512346369,
10,5,ENSDARG00000024548,cryba4,"crystallin, beta A4 [Source:NCBI gene (formerly Entrezgene);Acc:553178]",False,,4.887702941894531,0.0008064018512346369,
10,6,ENSDARG00000069817,crygm2d17,"crystallin, gamma M2d17 [Source:NCBI gene (formerly Entrezgene);Acc:561929]",False,,4.887702941894531,0.0008064018512346369,
10,7,ENSDARG00000069792,crygm2d5,"crystallin, gamma M2d5 [Source:NCBI gene (formerly Entrezgene);Acc:558470]",False,,4.887702941894531,0.0008064018512346369,
10,8,ENSDARG00000053862,crygmx,"crystallin, gamma MX [Source:NCBI gene (formerly Entrezgene);Acc:335789]",False,,4.887702941894531,0.0008064018512346369,
10,9,ENSDARG00000087164,crygm2d4,"crystallin, gamma M2d4 [Source:NCBI gene (formerly Entrezgene);Acc:790917]",False,,4.887702941894531,0.0008064018512346369,
10,10,ENSDARG00000076790,crygm2d16,"crystallin, gamma M2d16 [Source:NCBI gene (formerly Entrezgene);Acc:798701]",False,,4.887702941894531,0.0008064018512346369,
10,11,ENSDARG00000086658,crygm2d21,"crystallin, gamma M2d21 [Source:NCBI gene (formerly Entrezgene);Acc:569000]",False,,4.887109279632568,0.0008064018512346369,
10,12,ENSDARG00000030411,crygn2,"crystallin, gamma N2 [Source:NCBI gene (formerly Entrezgene);Acc:445034]",False,,4.887109279632568,0.0008064018512346369,
10,13,ENSDARG00000032929,cryba1l1,"crystallin, beta A1, like 1 [Source:NCBI gene (formerly Entrezgene);Acc:550433]",False,,4.887109279632568,0.0008064018512346369,
10,14,ENSDARG00000091148,crygm2d20,"crystallin, gamma M2d20 [Source:NCBI gene (formerly Entrezgene);Acc:100000175]",False,,4.887109279632568,0.0008064018512346369,
10,15,ENSDARG00000088687,,,False,,4.886515140533447,0.0008064018512346369,
10,16,ENSDARG00000087765,crygm2d10,"crystallin, gamma M2d10 [Source:NCBI gene (formerly Entrezgene);Acc:100126134]",False,,4.886515140533447,0.0008064018512346369,
10,17,ENSDARG00000076693,,,False,,4.885921001434326,0.0008064018512346369,
10,18,ENSDARG00000069827,crygm2d11,"crystallin, gamma M2d11 [Source:NCBI gene (formerly Entrezgene);Acc:100126132]",False,,4.885623931884766,0.0008064018512346369,
10,19,ENSDARG00000086917,crygm2d2,"crystallin, gamma M2d2 [Source:NCBI gene (formerly Entrezgene);Acc:558501]",False,,4.885326862335205,0.0008064018512346369,
10,20,ENSDARG00000053875,cryba1b,"crystallin, beta A1b [Source:NCBI gene (formerly Entrezgene);Acc:436859]",False,,4.885326862335205,0.0008064018512346369,
10,21,ENSDARG00000068507,crybb1,"crystallin, beta B1 [Source:NCBI gene (formerly Entrezgene);Acc:114418]",False,,4.885326862335205,0.0008064018512346369,
10,22,ENSDARG00000016793,crybb1l2,"crystallin, beta B1, like 2 [Source:NCBI gene (formerly Entrezgene);Acc:560055]",False,,4.884732723236084,0.0008064018512346369,
10,23,ENSDARG00000041925,cryba2b,"crystallin, beta A2b [Source:NCBI gene (formerly Entrezgene);Acc:436857]",False,,4.884732723236084,0.0008064018512346369,
10,24,ENSDARG00000074001,crygmxl2,"crystallin, gamma MX, like 2 [Source:NCBI gene (formerly Entrezgene);Acc:554132]",False,,4.8823561668396,0.0008064018512346369,
10,25,ENSDARG00000076572,crygm2d7,"crystallin, gamma M2d7 [Source:NCBI gene (formerly Entrezgene);Acc:566558]",False,,4.8823561668396,0.0008064018512346369,
10,26,ENSDARG00000030349,cryba2a,"crystallin, beta A2a [Source:NCBI gene (formerly Entrezgene);Acc:415139]",False,,4.8817620277404785,0.0008064018512346369,
10,27,ENSDARG00000015445,lim2.4,lens intrinsic membrane protein 2.4 [Source:NCBI gene (formerly Entrezgene);Acc:436680],False,,4.880573749542236,0.0008064018512346369,
10,28,ENSDARG00000057460,crygm2d13,"crystallin, gamma M2d13 [Source:NCBI gene (formerly Entrezgene);Acc:436681]",False,,4.880573749542236,0.0008064018512346369,
10,29,ENSDARG00000073874,crygm2d6,"crystallin, gamma M2d6 [Source:NCBI gene (formerly Entrezgene);Acc:415228]",False,,4.879682540893555,0.0008064018512346369,
10,30,ENSDARG00000037402,lim2.3,lens intrinsic membrane protein 2.3 [Source:NCBI gene (formerly Entrezgene);Acc:436860],False,,4.87819766998291,0.0008064018512346369,
11,1,ENSDARG00000061436,col6a2,collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212],False,,4.884138584136963,0.005820441344817379,
11,2,ENSDARG00000074908,col6a1,,False,,4.8514628410339355,0.005820441344817379,
11,3,ENSDARG00000052063,col4a5,"collagen, type IV, alpha 5 (Alport syndrome) [Source:NCBI gene (formerly Entrezgene);Acc:323561]",False,,4.850274562835693,0.005820441344817379,
11,4,ENSDARG00000009782,myh11a,"myosin, heavy chain 11a, smooth muscle [Source:NCBI gene (formerly Entrezgene);Acc:554168]",False,,4.842551231384277,0.005820441344817379,
