symbol,cluster,n_clusters
alx4a,['22'],1
cux1a,['8'],1
dzip1l,['15'],1
foxf2a,['11'],1
foxj1b,['15'],1
gata1a,['12'],1
hipk2,['16'],1
hoxb8a,['16'],1
hoxb9a,['0'],1
klf17,['12'],1
mafa,['22'],1
mafba,['17'],1
meis1a,['8'],1
meis1b,['8'],1
mitfa,['5'],1
mnx2a,['20'],1
myt1a,['0'],1
nkx2.3,['11'],1
nr2f1a,['21'],1
nr2f5,['3'],1
nr5a1b,['21'],1
nrip2,['4'],1
onecut1,['0'],1
pax2a,['15'],1
pax3a,['1'],1
pbx4,['1'],1
ripply1,['17'],1
sall1a,['16'],1
sim1a,['16'],1
scrt2,['0'],1
sox19a,['1'],1
sox3,['1'],1
wt1a,['17'],1
tal1,['12'],1
tcf7l1b,['22'],1
tfap2a,['3'],1
wt1b,['17'],1
prox1a,"['16', '20']",2
zeb2a,"['3', '5']",2
