cluster,rank,ens,symbol,description,is_tf,tf_reason,score,padj,anchor_label
0,15,ENSDARG00000056023,hoxb9a,homeobox B9a [Source:NCBI gene (formerly Entrezgene);Acc:30344],True,desc:homeobox,10.421030044555664,3.1766374630748735e-22,
0,19,ENSDARG00000007982,onecut1,one cut homeobox 1 [Source:NCBI gene (formerly Entrezgene);Acc:393545],True,desc:homeobox,10.286637306213379,1.0212979088776593e-21,
0,21,ENSDARG00000056175,scrt2,scratch family zinc finger 2 [Source:NCBI gene (formerly Entrezgene);Acc:325372],True,desc:zinc finger,10.14373779296875,4.032833275323213e-21,
0,23,ENSDARG00000074030,myt1a,myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622],True,desc:transcription factor,10.056034088134766,9.005392761498155e-21,
1,5,ENSDARG00000053569,sox3,SRY-box transcription factor 3 [Source:NCBI gene (formerly Entrezgene);Acc:30529],True,desc:transcription factor,18.253711700439453,9.267651297974669e-71,intermed_meso (20%)
1,11,ENSDARG00000028335,hmga1a,high mobility group AT-hook 1a [Source:NCBI gene (formerly Entrezgene);Acc:406447],True,desc:high mobility group,17.505558013916016,2.831629082112524e-65,intermed_meso (20%)
1,13,ENSDARG00000010770,sox19a,SRY-box transcription factor 19a [Source:NCBI gene (formerly Entrezgene);Acc:30038],True,desc:transcription factor,16.658235549926758,4.862023756848342e-59,intermed_meso (20%)
1,19,ENSDARG00000052150,pbx4,pre-B-cell leukemia transcription factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:30728],True,desc:transcription factor,16.112497329711914,2.6295422805915753e-55,intermed_meso (20%)
1,27,ENSDARG00000010192,pax3a,paired box 3a [Source:NCBI gene (formerly Entrezgene);Acc:30532],True,desc:paired box,15.600817680358887,6.3802329280243425e-52,intermed_meso (20%)
11,9,ENSDARG00000017195,foxf2a,forkhead box F2a [Source:NCBI gene (formerly Entrezgene);Acc:407681],True,desc:forkhead,4.716006755828857,0.005820441344817379,
11,23,ENSDARG00000069912,hmga2,high mobility group AT-hook 2 [Source:NCBI gene (formerly Entrezgene);Acc:324428],True,desc:high mobility group,4.218146800994873,0.024796219987958383,
