marker,ens_id,found,n_cells_expressing,pct_expressing,mean_expr,max_expr,reason,scope,day,n_cells_in_day
podxl,ENSDARG00000031228,True,258,12.493946731234868,0.2785314619541168,4.965827941894531,,all,,
podxl,ENSDARG00000031228,True,83,14.04399323181049,0.24105726182460785,4.064248561859131,,day1,day1,591.0
podxl,ENSDARG00000031228,True,75,8.169934640522875,0.175645649433136,4.638502597808838,,day2,day2,918.0
podxl,ENSDARG00000031228,True,100,17.985611510791365,0.4882373511791229,4.965827941894531,,day3,day3,556.0
nphs1,ENSDARG00000060758,True,78,3.777239709443099,0.08308892697095871,3.869567394256592,,all,,
nphs1,ENSDARG00000060758,True,9,1.5228426395939088,0.029088305309414864,2.406099557876587,,day1,day1,591.0
nphs1,ENSDARG00000060758,True,28,3.0501089324618738,0.057511866092681885,3.297297477722168,,day2,day2,918.0
nphs1,ENSDARG00000060758,True,41,7.374100719424461,0.18271860480308533,3.869567394256592,,day3,day3,556.0
nphs2,ENSDARG00000042850,True,98,4.745762711864407,0.13503868877887726,4.928224563598633,,all,,
nphs2,ENSDARG00000042850,True,6,1.015228426395939,0.019925232976675034,3.0139384269714355,,day1,day1,591.0
nphs2,ENSDARG00000042850,True,27,2.941176470588235,0.08735383301973343,4.8091888427734375,,day2,day2,918.0
nphs2,ENSDARG00000042850,True,65,11.690647482014388,0.33612993359565735,4.928224563598633,,day3,day3,556.0
slc20a1a,ENSDARG00000020114,True,267,12.929782082324456,0.2881975471973419,5.103420734405518,,all,,
slc20a1a,ENSDARG00000020114,True,46,7.7834179357022,0.14611011743545532,3.879776954650879,,day1,day1,591.0
slc20a1a,ENSDARG00000020114,True,159,17.320261437908496,0.36668217182159424,4.5524091720581055,,day2,day2,918.0
slc20a1a,ENSDARG00000020114,True,62,11.151079136690647,0.3096449375152588,5.103420734405518,,day3,day3,556.0
slc4a4a,ENSDARG00000013730,True,461,22.324455205811137,0.6305474638938904,5.126362323760986,,all,,
slc4a4a,ENSDARG00000013730,True,90,15.228426395939088,0.4317280054092407,5.078042030334473,,day1,day1,591.0
slc4a4a,ENSDARG00000013730,True,255,27.77777777777778,0.8095139265060425,5.126362323760986,,day2,day2,918.0
slc4a4a,ENSDARG00000013730,True,116,20.863309352517987,0.546394944190979,4.939226150512695,,day3,day3,556.0
trpm7,ENSDARG00000036232,True,219,10.605326876513317,0.1586340367794037,3.2980804443359375,,all,,
trpm7,ENSDARG00000036232,True,57,9.644670050761421,0.12153241783380508,2.3551697731018066,,day1,day1,591.0
trpm7,ENSDARG00000036232,True,100,10.893246187363834,0.16757835447788239,3.0964131355285645,,day2,day2,918.0
trpm7,ENSDARG00000036232,True,62,11.151079136690647,0.18330338597297668,3.2980804443359375,,day3,day3,556.0
slc12a1,ENSDARG00000098096,False,0,0.0,0.0,0.0,id_not_in_var_names,all,,
slc12a1,ENSDARG00000098096,False,0,0.0,0.0,0.0,id_not_in_var_names,day1,day1,591.0
slc12a1,ENSDARG00000098096,False,0,0.0,0.0,0.0,id_not_in_var_names,day2,day2,918.0
slc12a1,ENSDARG00000098096,False,0,0.0,0.0,0.0,id_not_in_var_names,day3,day3,556.0
kcnj1a.1,ENSDARG00000091232,True,84,4.067796610169491,0.08285657316446304,3.7717440128326416,,all,,
kcnj1a.1,ENSDARG00000091232,True,3,0.5076142131979695,0.01030247937887907,3.5374596118927,,day1,day1,591.0
kcnj1a.1,ENSDARG00000091232,True,69,7.516339869281046,0.15390543639659882,3.7717440128326416,,day2,day2,918.0
kcnj1a.1,ENSDARG00000091232,True,12,2.158273381294964,0.042670611292123795,3.214937448501587,,day3,day3,556.0
slc12a3,ENSDARG00000013855,True,204,9.878934624697337,0.26207372546195984,4.771627902984619,,all,,
slc12a3,ENSDARG00000013855,True,23,3.8917089678511,0.10153833031654358,4.140625,,day1,day1,591.0
slc12a3,ENSDARG00000013855,True,157,17.10239651416122,0.4611489474773407,4.771627902984619,,day2,day2,918.0
slc12a3,ENSDARG00000013855,True,24,4.316546762589928,0.10402586311101913,4.341006278991699,,day3,day3,556.0
gata3,ENSDARG00000016526,True,122,5.907990314769976,0.10027118772268295,3.038620710372925,,all,,
gata3,ENSDARG00000016526,True,13,2.199661590524535,0.03343517705798149,2.3620336055755615,,day1,day1,591.0
gata3,ENSDARG00000016526,True,78,8.49673202614379,0.14566361904144287,3.038620710372925,,day2,day2,918.0
gata3,ENSDARG00000016526,True,31,5.575539568345324,0.0963679626584053,2.95121693611145,,day3,day3,556.0
cdh17,ENSDARG00000005112,True,725,35.1089588377724,0.9892889857292175,4.7743144035339355,,all,,
cdh17,ENSDARG00000005112,True,96,16.243654822335024,0.4213874042034149,3.866935968399048,,day1,day1,591.0
cdh17,ENSDARG00000005112,True,412,44.88017429193899,1.427607774734497,4.7743144035339355,,day2,day2,918.0
cdh17,ENSDARG00000005112,True,217,39.02877697841727,0.8692408800125122,4.295817852020264,,day3,day3,556.0
