group,symbol,ens_id,in_dataset,n_cells_expressing,pct_expressing,mean_expr,max_expr
canonical_identity,wt1a,ENSDARG00000031420,True,108,5.230024213075061,0.11495733261108398,4.200300216674805
canonical_identity::day1,wt1a,ENSDARG00000031420,True,20,3.3840947546531304,0.07263454049825668,3.2710254192352295
canonical_identity::day2,wt1a,ENSDARG00000031420,True,37,4.030501089324619,0.07957682758569717,3.8035287857055664
canonical_identity::day3,wt1a,ENSDARG00000031420,True,51,9.172661870503598,0.21836033463478088,4.200300216674805
canonical_identity,wt1b,ENSDARG00000007990,True,208,10.072639225181598,0.18935027718544006,3.4072110652923584
canonical_identity::day1,wt1b,ENSDARG00000007990,True,18,3.0456852791878175,0.0565778985619545,3.075993299484253
canonical_identity::day2,wt1b,ENSDARG00000007990,True,150,16.33986928104575,0.3028440773487091,3.4072110652923584
canonical_identity::day3,wt1b,ENSDARG00000007990,True,40,7.194244604316546,0.14309346675872803,3.0598978996276855
canonical_identity,pax2a,ENSDARG00000028148,True,455,22.033898305084744,0.43385303020477295,4.015320777893066
canonical_identity::day1,pax2a,ENSDARG00000028148,True,94,15.905245346869712,0.3234046399593353,4.015320777893066
canonical_identity::day2,pax2a,ENSDARG00000028148,True,248,27.01525054466231,0.5230764746665955,3.663926362991333
canonical_identity::day3,pax2a,ENSDARG00000028148,True,113,20.323741007194247,0.4039390981197357,3.911578416824341
canonical_identity,pax8,ENSDARG00000015879,True,233,11.283292978208232,0.18909749388694763,3.428107976913452
canonical_identity::day1,pax8,ENSDARG00000015879,True,32,5.414551607445008,0.07860002666711807,2.8396921157836914
canonical_identity::day2,pax8,ENSDARG00000015879,True,170,18.51851851851852,0.3173973262310028,3.428107976913452
canonical_identity::day3,pax8,ENSDARG00000015879,True,31,5.575539568345324,0.0947175845503807,3.0181944370269775
canonical_identity,hnf1ba,ENSDARG00000006615,True,523,25.326876513317192,0.4851681888103485,3.6292150020599365
canonical_identity::day1,hnf1ba,ENSDARG00000006615,True,86,14.551607445008461,0.25049322843551636,3.6292150020599365
