marker,ens_id,schoels_pct,wagner_pn_pct,wagner_in_dataset,delta
cdh17,ENSDARG00000005112,35.1089588377724,83.72093023255815,True,48.61197139478575
hnf1ba,ENSDARG00000006615,25.326876513317192,100.0,True,74.67312348668281
slc4a4a,ENSDARG00000013730,22.324455205811137,48.837209302325576,True,26.51275409651444
pax2a,ENSDARG00000028148,22.033898305084744,83.72093023255815,True,61.6870319274734
tbx2b,ENSDARG00000006120,19.27360774818402,13.953488372093023,True,-5.320119376090997
emx1,ENSDARG00000039569,18.062953995157383,11.627906976744185,True,-6.435047018413197
irx3b,ENSDARG00000031138,16.416464891041162,27.906976744186046,True,11.490511853144884
pou3f3a,ENSDARG00000042032,14.043583535108958,18.6046511627907,True,4.561067627681741
slc20a1a,ENSDARG00000020114,12.929782082324456,30.23255813953488,True,17.302776057210423
mafba,ENSDARG00000017121,12.639225181598064,13.953488372093023,True,1.3142631904949589
podxl,ENSDARG00000031228,12.493946731234868,11.627906976744185,True,-0.8660397544906822
pax8,ENSDARG00000015879,11.283292978208232,0.0,False,-11.283292978208232
trpm7,ENSDARG00000036232,10.605326876513317,16.27906976744186,True,5.673742890928544
wt1b,ENSDARG00000007990,10.072639225181598,0.0,False,-10.072639225181598
slc12a3,ENSDARG00000013855,9.878934624697337,27.906976744186046,True,18.02804211948871
atp1b1b,ENSDARG00000076833,8.135593220338983,11.627906976744185,True,3.4923137564052027
foxc1a,ENSDARG00000091481,7.215496368038742,0.0,False,-7.215496368038742
gata3,ENSDARG00000016526,5.907990314769976,20.930232558139537,True,15.022242243369561
sim1a,ENSDARG00000023316,5.520581113801453,0.0,False,-5.520581113801453
wt1a,ENSDARG00000031420,5.230024213075061,0.0,False,-5.230024213075061
nphs2,ENSDARG00000042850,4.745762711864407,0.0,False,-4.745762711864407
lhx1a,ENSDARG00000014018,4.455205811138015,34.883720930232556,True,30.42851511909454
kcnj1a.1,ENSDARG00000091232,4.067796610169491,0.0,False,-4.067796610169491
nphs1,ENSDARG00000060758,3.777239709443099,0.0,False,-3.777239709443099
slc13a1,ENSDARG00000045638,3.438256658595642,0.0,False,-3.438256658595642
slc13a3,ENSDARG00000069478,2.1307506053268765,9.30232558139535,True,7.171574976068473
mecom,ENSDARG00000060808,1.937046004842615,0.0,False,-1.937046004842615
hnf1bb,ENSDARG00000022295,0.9685230024213076,74.4186046511628,True,73.45008164874149
atp1a1a.2,ENSDARG00000007739,0.5326876513317191,18.6046511627907,True,18.07196351145898
clcnkb,,0.0,0.0,False,0.0
slc12a1a,,0.0,0.0,False,0.0
slc12a1,ENSDARG00000098096,0.0,0.0,False,0.0
